sample_id,traj_id,ens_id,year,month,day,hour,min,hour.inc,lat,lon,height,pressure,theta,airtemp,rainfall,mixdepth,relhumid,terrain_height_MSL,sunflux,natural_vegetation,agriculture,bare_areas,water_ice,urban_areas,no_data,weighting
CVAO10,1,1,7,1,19,16,0,0,16.84,-24.87,500,955.2,297.2,293.3,0,511.9,46.6,17.8,600.1,0.042649872,0.011479592,0.003268495,0.942602041,0,0,1
CVAO10,1,1,7,1,19,15,0,-1,16.909,-24.62,502,955.1,297.4,293.5,0,511.1,45.7,19.3,647.5,0.042649872,0.011479592,0.003268495,0.942602041,0,0,0.9896907216494846
CVAO10,1,1,7,1,19,14,0,-2,16.979,-24.37,500,955.1,297.5,293.6,0,498.4,44.9,20.8,501.7,0.042649872,0.011479592,0.003268495,0.942602041,0,0,0.979381443298969
CVAO10,1,1,7,1,19,13,0,-3,17.038,-24.123,489.6,956.7,297.5,293.7,0,498.2,45,20.4,355.2,0.001833546,3.18878e-4,0,0.997847577,0,0,0.9690721649484536
CVAO10,1,1,7,1,19,12,0,-4,17.089,-23.874000000000002,471.9,959.6,297.4,293.9,0,501,44.9,16.9,198.9,0,0,0,1,0,0,0.9587628865979382
CVAO10,1,1,7,1,19,11,0,-5,17.136000000000003,-23.62,456.1,962.8,297.2,294,0,485.8,44.7,11.4,125.1,0,0,0,1,0,0,0.9484536082474226
CVAO10,1,1,7,1,19,10,0,-6,17.178,-23.358,448.1,963.9,297.1,294,0,480.8,43.5,6.2,61.4,0,0,0,1,0,0,0.9381443298969072
CVAO10,1,1,7,1,19,9,0,-7,17.211000000000002,-23.089,445.4,964.5,297,294,0,485.3,41.9,1.5,6.7,0,0,0,1,0,0,0.9278350515463918
CVAO10,1,1,7,1,19,8,0,-8,17.236,-22.815,442.4,964.1,297.2,294.1,0,467.1,41,0,4.6,0,0,0,1,0,0,0.9175257731958762
CVAO10,1,1,7,1,19,7,0,-9,17.259999999999998,-22.54,437.1,964.7,297.3,294.2,0,450.2,40.7,0,2.4,0,0,0,1,0,0,0.9072164948453608
CVAO10,1,1,7,1,19,6,0,-10,17.282999999999998,-22.264,434.3,965.1,297.4,294.4,0,437.2,39.5,0,0,0,0,0,1,0,0,0.8969072164948454
CVAO10,1,1,7,1,19,5,0,-11,17.298,-21.993,433.4,964.8,297.5,294.5,0,421.4,37.8,0,0,0,0,0,1,0,0,0.8865979381443299
CVAO10,1,1,7,1,19,4,0,-12,17.305,-21.734,429,964.9,297.6,294.6,0,398.7,36.2,0,0,0,0,0,1,0,0,0.8762886597938144
CVAO10,1,1,7,1,19,3,0,-13,17.307000000000002,-21.485999999999997,416.5,966.1,297.6,294.7,0,375.9,34.9,0,0,0,0,0,1,0,0,0.865979381443299
CVAO10,1,1,7,1,19,2,0,-14,17.299,-21.239,398.6,969.1,297.5,294.9,0,360.8,32.9,0,5.1,0,0,0,1,0,0,0.8556701030927836
CVAO10,1,1,7,1,19,1,0,-15,17.27,-20.985999999999997,378.6,971.7,297.6,295.1,0,344.6,30.8,0,9.3,0,0,0,1,0,0,0.845360824742268
CVAO10,1,1,7,1,19,0,0,-16,17.218,-20.723,354.3,974.2,297.8,295.6,0,325.1,29.8,0,14,0,0,0,1,0,0,0.8350515463917526
CVAO10,1,1,7,1,18,23,0,-17,17.158,-20.453,329.6,977.1,298,296,0,312,29.6,0,20,0,0,0,1,0,0,0.8247422680412371
CVAO10,1,1,7,1,18,22,0,-18,17.095,-20.178,311.2,979,298.2,296.4,0,286.3,28.4,0,24.9,0,0,0,1,0,0,0.8144329896907216
CVAO10,1,1,7,1,18,21,0,-19,17.032,-19.904,302.7,979.9,298.6,296.8,0,259.1,26.5,0,27.5,0,0,0,1,0,0,0.8041237113402062
CVAO10,1,1,7,1,18,20,0,-20,16.976,-19.621000000000002,304.7,979.1,298.6,296.8,0,290,25.8,0,209.3,0,0,0,1,0,0,0.7938144329896908
CVAO10,1,1,7,1,18,19,0,-21,16.927,-19.321,316.8,977.5,298.7,296.7,0,297,24.2,0,381,0,0,0,1,0,0,0.7835051546391752
